"No.","Time","Source","Destination","Protocol","Length","Info"
"189","77.207593200","::1","::1","TCP","64","80  >  64165 [ACK] Seq=1021 Ack=1857 Win=2618112 Len=0"
"190","77.277643000","::1","::1","HTTP","721","HTTP/1.1 200 OK  (text/html)"
"191","77.277679500","::1","::1","TCP","64","64165  >  80 [ACK] Seq=1857 Ack=1678 Win=2617088 Len=0"
"192","77.311176300","::1","::1","HTTP","896","GET /interface/login/login.php?site=default HTTP/1.1 "
"193","77.311220800","::1","::1","TCP","64","80  >  64165 [ACK] Seq=1678 Ack=2689 Win=2617088 Len=0"
"194","77.420979800","::1","::1","TCP","4152","80  >  64165 [PSH, ACK] Seq=1678 Ack=2689 Win=2617088 Len=4088 [TCP PDU reassembled in 196]"
"195","77.421010900","::1","::1","TCP","64","64165  >  80 [ACK] Seq=2689 Ack=5766 Win=2612992 Len=0"
"196","77.421045000","::1","::1","HTTP","3110","HTTP/1.1 200 OK  (text/html)"
"197","77.421056900","::1","::1","TCP","64","64165  >  80 [ACK] Seq=2689 Ack=8812 Win=2610176 Len=0"
"198","77.528405800","::1","::1","HTTP","830","GET /interface/product_registration/product_registration_controller.php HTTP/1.1 "
"199","77.528455500","::1","::1","TCP","64","80  >  64165 [ACK] Seq=8812 Ack=3455 Win=2616320 Len=0"
"200","77.597035100","::1","::1","HTTP/JSON","625","HTTP/1.1 200 OK , JSON (application/json)"
"201","77.597061900","::1","::1","TCP","64","64165  >  80 [ACK] Seq=3455 Ack=9373 Win=2609408 Len=0"
"202","82.599210900","::1","::1","TCP","64","80  >  64165 [FIN, ACK] Seq=9373 Ack=3455 Win=2616320 Len=0"
"203","82.599236000","::1","::1","TCP","64","64165  >  80 [ACK] Seq=3455 Ack=9374 Win=2609408 Len=0"
"204","85.290308800","::1","::1","TCP","64","64165  >  80 [FIN, ACK] Seq=3455 Ack=9374 Win=2609408 Len=0"
"205","85.290334400","::1","::1","TCP","64","80  >  64165 [ACK] Seq=9374 Ack=3456 Win=2616320 Len=0"
"206","85.290453600","::1","::1","HTTP","1064","POST /interface/main/main_screen.php?auth=login&site=default HTTP/1.1  (application/x-www-form-urlencoded)"
"207","85.290471500","::1","::1","TCP","64","80  >  64170 [ACK] Seq=1 Ack=1001 Win=2618880 Len=0"
"208","85.292786300","::1","::1","TCP","76","64171  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"209","85.292833300","::1","::1","TCP","76","80  >  64171 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65475 WS=256 SACK_PERM"
"210","85.292857900","::1","::1","TCP","64","64171  >  80 [ACK] Seq=1 Ack=1 Win=2618880 Len=0"
"211","85.383528200","::1","::1","HTTP","1084","HTTP/1.1 200 OK  (text/html)"
"212","85.383551900","::1","::1","TCP","64","64170  >  80 [ACK] Seq=1001 Ack=1021 Win=2617856 Len=0"
"213","85.412507700","::1","::1","HTTP","912","GET /interface/login_screen.php?error=1&site= HTTP/1.1 "
"214","85.412563300","::1","::1","TCP","64","80  >  64170 [ACK] Seq=1021 Ack=1849 Win=2618112 Len=0"
"215","85.468212900","::1","::1","HTTP","721","HTTP/1.1 200 OK  (text/html)"
"216","85.468236400","::1","::1","TCP","64","64170  >  80 [ACK] Seq=1849 Ack=1678 Win=2617088 Len=0"
"217","85.495862500","::1","::1","HTTP","896","GET /interface/login/login.php?site=default HTTP/1.1 "
"218","85.495901800","::1","::1","TCP","64","80  >  64170 [ACK] Seq=1678 Ack=2681 Win=2617088 Len=0"
"219","85.587689700","::1","::1","TCP","4152","80  >  64170 [PSH, ACK] Seq=1678 Ack=2681 Win=2617088 Len=4088 [TCP PDU reassembled in 221]"
"220","85.587714700","::1","::1","TCP","64","64170  >  80 [ACK] Seq=2681 Ack=5766 Win=2612992 Len=0"
"221","85.587743500","::1","::1","HTTP","3110","HTTP/1.1 200 OK  (text/html)"
"222","85.587751500","::1","::1","TCP","64","64170  >  80 [ACK] Seq=2681 Ack=8812 Win=2610176 Len=0"
"223","85.674317700","::1","::1","HTTP","830","GET /interface/product_registration/product_registration_controller.php HTTP/1.1 "
"224","85.674346400","::1","::1","TCP","64","80  >  64170 [ACK] Seq=8812 Ack=3447 Win=2616320 Len=0"
